PC:    0 |  SUB R0, R15, R15                |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   2, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   2, R3 =   4, R4 =   6, R5 =   0, R6 =   0
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   2, R3 =   4, R4 =   6, R5 =   0, R6 =   0
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   2, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   1, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   1, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   1, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   1, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   1, R3 =   4, R4 =   6, R5 =   0, R6 =   0
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   1, R3 =   4, R4 =   6, R5 =   0, R6 =   0
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   1, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   0, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   48 |  XXXX XXXX                       |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   0, R3 =   3, R4 =   6, R5 =   0, R6 =   0
PC:   52 |  XXXX XXXX                       |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   0, R3 =   3, R4 =   6, R5 =   2, R6 =   0
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  50, R2 =   0, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   0, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   0, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   0, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   0, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   4, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   4, R3 =   4, R4 =   6, R5 =   2, R6 =   4
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   4, R3 =   4, R4 =   6, R5 =   2, R6 =   4
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   4, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   3, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   3, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   3, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   3, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   3, R3 =   4, R4 =   6, R5 =   2, R6 =   4
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   3, R3 =   4, R4 =   6, R5 =   2, R6 =   4
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   3, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   2, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   2, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   2, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   2, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   2, R3 =   4, R4 =   6, R5 =   2, R6 =   4
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   2, R3 =   4, R4 =   6, R5 =   2, R6 =   4
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   2, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   1, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   1, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   1, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   1, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   1, R3 =   4, R4 =   6, R5 =   2, R6 =   4
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   1, R3 =   4, R4 =   6, R5 =   2, R6 =   4
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   1, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   0, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   0, R3 =   3, R4 =   6, R5 =   2, R6 =   4
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   0, R3 =   3, R4 =   6, R5 =   4, R6 =   4
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  49, R2 =   0, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   0, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   0, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   4, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   4, R3 =   4, R4 =   6, R5 =   4, R6 =   6
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   4, R3 =   4, R4 =   6, R5 =   4, R6 =   6
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   4, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   3, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   3, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   3, R3 =   4, R4 =   6, R5 =   4, R6 =   6
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   3, R3 =   4, R4 =   6, R5 =   4, R6 =   6
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   3, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   2, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   2, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   2, R3 =   4, R4 =   6, R5 =   4, R6 =   6
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   2, R3 =   4, R4 =   6, R5 =   4, R6 =   6
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   2, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   1, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   1, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   1, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   1, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   1, R3 =   4, R4 =   6, R5 =   4, R6 =   6
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   1, R3 =   4, R4 =   6, R5 =   4, R6 =   6
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   1, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   0, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   0, R3 =   3, R4 =   6, R5 =   4, R6 =   6
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   0, R3 =   3, R4 =   6, R5 =   6, R6 =   6
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  48, R2 =   0, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   0, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   0, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   4, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   4, R3 =   4, R4 =   6, R5 =   6, R6 =   8
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   4, R3 =   4, R4 =   6, R5 =   6, R6 =   8
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   4, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   3, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   3, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   3, R3 =   4, R4 =   6, R5 =   6, R6 =   8
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   3, R3 =   4, R4 =   6, R5 =   6, R6 =   8
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   3, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   2, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   2, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   2, R3 =   4, R4 =   6, R5 =   6, R6 =   8
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   2, R3 =   4, R4 =   6, R5 =   6, R6 =   8
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   2, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   1, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   1, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   1, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   1, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   1, R3 =   4, R4 =   6, R5 =   6, R6 =   8
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   1, R3 =   4, R4 =   6, R5 =   6, R6 =   8
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   1, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   0, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   0, R3 =   3, R4 =   6, R5 =   6, R6 =   8
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   0, R3 =   3, R4 =   6, R5 =   8, R6 =   8
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  47, R2 =   0, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   0, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   0, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   4, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   4, R3 =   4, R4 =   6, R5 =   8, R6 =  10
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   4, R3 =   4, R4 =   6, R5 =   8, R6 =  10
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   4, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   3, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   3, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   3, R3 =   4, R4 =   6, R5 =   8, R6 =  10
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   3, R3 =   4, R4 =   6, R5 =   8, R6 =  10
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   3, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   2, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   2, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   2, R3 =   4, R4 =   6, R5 =   8, R6 =  10
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   2, R3 =   4, R4 =   6, R5 =   8, R6 =  10
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   2, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   1, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   1, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   1, R3 =   4, R4 =   6, R5 =   8, R6 =  10
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   1, R3 =   4, R4 =   6, R5 =   8, R6 =  10
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   1, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   0, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   0, R3 =   3, R4 =   6, R5 =   8, R6 =  10
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   0, R3 =   3, R4 =   6, R5 =  10, R6 =  10
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  46, R2 =   0, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   0, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   0, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   4, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   4, R3 =   4, R4 =   6, R5 =  10, R6 =  12
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   4, R3 =   4, R4 =   6, R5 =  10, R6 =  12
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   4, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   3, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   3, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   3, R3 =   4, R4 =   6, R5 =  10, R6 =  12
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   3, R3 =   4, R4 =   6, R5 =  10, R6 =  12
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   3, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   2, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   2, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   2, R3 =   4, R4 =   6, R5 =  10, R6 =  12
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   2, R3 =   4, R4 =   6, R5 =  10, R6 =  12
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   2, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   1, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   1, R3 =   3, R4 =   6, R5 =  10, R6 =  12
